@relation R_data_frame

@attribute X1 numeric
@attribute X2 numeric
@attribute Class {1,2,3,5,6,7}

@data
4.666459,15.223086,1
20.750134,-20.210872,1
34.27913,-43.525708,1
25.967578,-5.354552,1
-45.829468,-36.020267,1
11.032958,9.345483,1
9.476696,5.404786,1
0.043145,17.44787,1
-27.14716,-22.74664,1
-42.046131,-37.742547,1
22.303157,7.223558,1
-39.301032,-41.358773,1
-36.093545,-26.413334,1
29.433575,6.251413,1
31.480717,-6.911326,1
20.638423,12.869116,1
-18.150767,20.947271,1
-12.549559,8.650004,1
-15.531065,-14.449004,1
-45.595566,-29.102486,1
-43.588423,18.513846,1
6.503444,-11.217945,1
25.50674,12.117635,1
3.733796,-1.940563,1
17.364847,8.886988,1
22.541102,-25.522163,1
33.852447,-25.160576,1
35.794406,-11.0036,1
23.900828,-10.630412,1
-29.040738,-26.919475,1
15.095068,4.134493,1
-35.243409,-31.999628,1
-22.265579,-26.494699,1
24.258358,1.456123,1
-9.119324,-8.080173,1
-18.230138,3.776273,1
28.741003,0.554074,1
-34.88913,20.284947,1
-38.00647,21.7902,1
18.965179,2.382342,1
30.713357,-15.667054,1
10.430157,-0.621406,1
-31.817076,12.605249,1
-46.599392,-42.751408,1
-1.000258,-22.084903,1
-34.572857,-17.092652,1
33.019641,77.72844,1
-26.79139,10.640963,1
16.302786,-35.876281,1
-43.970293,5.594354,1
-28.696675,-11.441574,1
0.300555,3.333284,1
29.253963,-27.830484,1
-17.115281,-20.963392,1
-44.103606,-50.347764,1
-26.189556,-52.25623,1
38.84992,-46.937818,1
13.376776,15.503069,1
-29.438453,-16.939115,1
0.738276,9.448761,1
-19.043628,9.574547,1
-38.496406,3.764631,1
-21.902451,19.648127,1
-33.247951,5.68492,1
-13.241865,14.985492,1
-44.581676,-2.020314,1
-44.779109,-7.903117,1
-41.044625,-2.874918,1
-28.624066,5.694627,1
-6.188553,-43.8601,2
-58.019894,-35.785001,2
19.714052,-13.752548,2
14.669824,-12.623225,2
17.273269,-7.817422,2
15.517046,-3.287322,2
23.33765,-39.043352,2
33.239654,-38.065429,2
-23.985679,-17.384739,2
47.18712,-9.606721,2
49.605834,-5.026783,2
24.457879,-16.552389,2
5.296435,-5.581493,2
-10.813179,-26.039396,2
-0.875226,-29.717011,2
4.524983,-17.747601,2
11.887858,-7.284243,2
-14.639197,-27.547696,2
36.234277,-35.044958,2
6.79963,-47.711273,2
-25.510263,-44.458068,2
39.220891,-38.928062,2
-27.006978,-35.667591,2
9.672768,-16.188177,2
33.600094,-20.340733,2
30.983842,-47.017458,2
